#305	LS	code	phase
745	15	745015	-5
745	50	745050	100
746	1	746001	10
746	31	746031	100
746	34	746034	-4
747	10	747010	100
748	1	748001	11
749	10	749010	100
750	1	750001	-3
751	10	751010	100
754	1	754001	-2
755	10	755010	100
756 	1	756001	13
757	15	757015	100
757	17	757017	-1
757	34	757034	100
757	37	757037	14
757	53	757053	100
757	55	757055	0
757	72	757072	100
757	75	757075	15
757	92 	757092	100
757	95	757095	1
757	109	757109	100
757	110	757110	16
757	125	757125	100
757	128	757128	2
757	142	757142	100
757	144	757144	17
757	157	757157	100
757	160	757160	3
757	174	757174	100
757	177	757177	20
757	194	757194	100
757	198	757198	6
757	215	757215	100
757	218	757218	18
757	240	757240	100
758	1	758001	4
758	30	758030	100
